4.855064,9.639962,1
8.62544,0.058927,0
3.828192,0.723199,0
7.150955,3.89942,1
6.4779,8.198181,1
1.92227,1.331427,0
8.978216,0.993438,1
6.635603,8.542803,1
7.672359,5.4164,1
4.866015,2.042671,0
6.861405,9.65531,1
8.540421,2.590374,1
3.717881,5.381662,0
9.181297,0.171475,1
9.56014,0.024946,0
5.971369,4.188302,1
9.438203,1.943812,1
4.357551,9.887983,1
4.540332,6.713873,1
1.549102,9.375132,0
8.081974,9.842207,1
9.620465,2.099328,1
8.834771,3.152204,1
1.753449,4.219243,0
1.043213,2.609765,0
1.196383,7.475745,0
8.91007,8.232928,1
4.529619,4.905512,1
1.859112,5.691868,0
9.557179,1.644672,1
7.154701,8.01479,1
2.343619,2.958707,0
2.922684,8.217595,1
6.333096,7.240305,1
0.925628,3.421267,0
7.874391,7.791093,1
8.347751,1.860813,1
5.581061,2.496129,0
5.091029,9.873134,1
4.530171,3.761759,0
1.423778,0.228598,0
9.09596,1.067917,1
4.006616,9.792128,1
8.976567,3.93516,1
0.098053,7.214513,0
0.452389,2.774694,0
3.863046,3.913202,0
7.86385,7.726383,1
8.922706,7.754217,1
7.464368,9.945176,1
1.341929,2.342878,0
5.94097,4.620632,1
0.904078,9.420929,0
7.75053,9.057172,1
9.517925,1.301186,0
7.743787,1.154422,0
7.691923,8.298228,1
7.092273,2.357457,0
6.944439,6.484704,1
0.045025,3.346006,0
1.545969,7.5677,1
5.272383,9.149615,1
0.860407,8.988188,0
7.253439,1.762511,1
7.517309,2.248929,0
9.081627,1.43735,1
0.455678,4.722297,0
6.949705,1.411293,0
9.282143,8.529331,1
7.180813,3.610763,1
1.132488,3.264912,0
7.746528,3.643019,1
7.06536,1.121328,0
6.505817,0.863102,0
5.700529,7.083544,1
6.660467,2.253956,0
1.091472,7.084377,0
4.903088,6.025478,0
3.443109,7.066347,0
8.182978,0.974987,1
9.000376,9.549328,1
9.683104,9.50705,1
2.991911,5.29921,0
2.238183,4.534844,0
0.665478,9.782636,1
6.779319,2.028181,0
9.947841,1.026458,1
3.214849,0.485059,0
8.851646,1.027916,1
0.200058,4.83406,0
5.18547,0.732631,0
7.260088,3.974134,1
9.150516,2.562334,1
6.460896,7.076293,1
4.778572,8.282871,1
0.02228,2.658428,0
7.630637,7.405351,1
3.684997,5.049965,0
7.48426,6.059396,1
2.030708,3.937267,0
